@relation kredyty

@attribute status_pozyczki {splacona, splacona_cz, windykacja, windykacja_sp, odmowa}
@attribute kwota real
@attribute wiek real
@attribute plec {K, M}
@attribute rodzaj_zrodla_dochodu {11, 12, 13, 14, 15, 16, 17, 98, 99}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {0, 1, 2, 3}
@attribute okres_w_ktorym_pobieral_dochod real
@attribute okres_w_jakim_bedzie_pobieral_dochod real
@attribute opoznienie_splaty real

@data
splacona,600,38,K,99,982,0,3,12,7
splacona,500,55,K,13,691.06,0,185,48,0
splacona,1000,47,M,11,2353,0,89,48,0
windykacja,500,22,M,99,700,0,1,4,1937
splacona,500,56,K,12,1680,0,60,48,0
splacona,700,34,M,11,2684,0,94,48,0
splacona,600,51,K,12,998.86,0,34,48,5
splacona,1000,60,K,13,8450.48,0,60,48,2
splacona,1000,51,K,11,1638,0,304,48,12
splacona,500,28,M,98,1078,0,1,48,40
splacona,600,56,K,11,2200,0,459,48,0
splacona,500,62,K,13,878,0,67,48,1
splacona,1000,37,M,98,1350,0,3,48,0
splacona,200,51,K,12,998,0,34,48,1
splacona,600,59,K,13,808,0,64,48,2
splacona,1000,36,K,99,2100,0,3,4,0
splacona,500,64,K,16,892,0,191,48,0
windykacja,600,45,M,12,2100,0,4,48,1932
splacona,200,61,K,13,1065,0,12,48,0
splacona,500,37,K,11,2400,0,99,48,0
windykacja_sp,1000,57,K,11,1761,0,285,48,665
splacona,400,67,K,13,1017,0,151,48,0
splacona,200,28,M,99,1500,0,6,8,0
splacona,1000,59,K,13,1149.62,0,60,48,17
splacona,1000,27,M,12,1800,0,1,4,0
splacona,600,27,M,12,1800,0,1,4,0
windykacja,1000,29,K,11,2400,0,1,48,1930
windykacja,1000,29,K,11,2400,0,1,48,1930
splacona,500,49,K,13,1635,0,105,48,0
windykacja,1000,29,K,11,2400,0,1,48,1930
windykacja,1000,29,K,11,2400,0,1,48,1930
windykacja,250,38,K,99,468,0,1,13,1929
windykacja,350,23,K,17,470,0,87,48,1929
splacona,400,46,K,12,659,0,35,48,0
splacona,600,48,K,11,1764,0,54,48,5
splacona,500,34,M,11,1736,0,43,48,0
splacona,700,29,M,11,2500,0,43,48,324
windykacja_sp,500,51,M,11,1661,0,37,48,494
splacona,300,29,M,12,2700,0,54,48,0
splacona,600,29,M,12,2547,0,7,11,0
splacona,500,26,K,12,1300,0,0,3,0
splacona,500,30,M,11,2700,0,5,48,0
odmowa,200,63,K,13,616,0,46,48,1924
splacona,700,36,K,12,1738,0,10,16,4
splacona,200,65,K,13,919,0,131,48,0
splacona,600,46,K,98,2200,0,15,48,0
splacona,250,66,K,13,1391,0,237,48,0
splacona,1000,42,M,11,1700.41,0,24,48,13
splacona,800,37,M,11,2150,0,44,48,3
windykacja_sp,450,58,M,12,980,0,3,21,394
splacona,500,38,K,11,2400,0,100,48,13
windykacja,500,38,M,98,1350,0,4,48,1918
splacona,400,28,K,99,468,0,2,12,2
windykacja,500,33,M,11,1800,0,27,48,1917
splacona,500,66,K,13,650,0,64,48,0
splacona,500,29,M,12,1500,0,3,6,22
splacona,1000,57,M,98,3000,0,60,48,1
splacona,500,57,M,98,3000,0,60,48,1
splacona,250,71,K,13,1668,0,188,48,1
windykacja,500,25,M,12,1000,0,7,25,1913
splacona,500,33,K,11,1400,0,92,48,1
splacona,450,23,M,99,980,0,3,6,0
windykacja,500,60,M,13,1324,0,201,48,1911
splacona,300,42,M,11,1400,0,4,48,1
splacona,400,25,K,17,1200,0,156,48,0
splacona,1000,57,M,13,3600,0,77,48,0
splacona,1000,55,M,11,2500,0,29,48,0
splacona,500,32,M,11,2050,0,109,48,0
splacona,1000,48,K,12,2127.68,0,5,17,1
splacona,350,68,M,13,2000,0,36,48,0
splacona,400,22,M,17,1896,0,25,28,0
splacona,400,29,M,12,1800,0,7,20,0
splacona,600,27,K,12,1300,0,1,3,0
windykacja,400,20,M,17,720.87,0,60,48,1909
splacona,800,40,M,11,1830,0,59,48,0
splacona,1000,37,K,99,2100,0,4,7,3
splacona,700,35,M,11,2684,0,95,48,9
splacona,500,60,K,13,1212,0,45,48,0
splacona,1000,35,K,98,4000,0,10,48,2
splacona,600,74,K,13,1900,0,66,48,3
windykacja,500,33,M,12,1472,0,0,4,1908
splacona,200,31,K,12,980,0,1,3,1
splacona,400,74,K,13,1026,0,238,48,1
splacona,2000,48,M,11,2353,0,90,48,2
splacona,700,58,K,13,1240,0,61,48,4
splacona,300,46,K,12,1669,0,28,48,1
splacona,600,57,K,11,2200,0,460,48,1
windykacja,200,26,M,99,1000,0,0,2,1904
windykacja,400,22,K,11,1200,0,18,48,1904
splacona,500,34,M,11,2400,0,7,48,15
splacona,500,65,K,16,892,0,192,48,0
splacona,300,62,K,13,1065,0,13,48,2
windykacja_sp,1000,61,K,13,845,0,61,48,8
windykacja,600,43,M,11,1700,0,61,48,1903
splacona,600,32,M,12,930,0,10,28,0
windykacja,1000,38,M,98,1350,0,4,48,1903
splacona,500,38,K,11,2400,0,100,48,1
splacona,1000,44,M,12,2455,0,12,25,0
splacona,500,66,M,13,3000,0,50,48,126
splacona,1000,50,K,98,2880,0,19,48,3
splacona,1000,50,K,13,1635,0,106,48,0
splacona,500,37,K,99,2100,0,4,7,0
windykacja_sp,884.13,39,K,99,982,0,4,12,0
windykacja,800,42,M,12,1300,0,4,28,1902
splacona,400,50,M,11,1300,0,2,48,0
windykacja,1161.64,52,K,12,998.86,0,35,48,1901
splacona,500,30,M,12,1857,0,3,29,0
splacona,200,54,K,12,1700,0,46,48,0
splacona,500,63,K,13,860,0,71,48,0
splacona,500,63,K,13,860,0,72,48,0
windykacja_sp,1000,60,K,13,1680,0,65,48,641
splacona,300,49,M,13,3900,0,21,48,0
splacona,500,61,M,13,1500,0,14,48,1
splacona,200,24,M,12,1000,0,3,26,0
splacona,600,55,K,12,1350,0,13,26,0
splacona,500,35,M,11,1736,0,44,48,443
splacona,700,30,M,12,2700,0,55,48,0
splacona,500,68,K,13,1017,0,152,48,0
splacona,300,60,M,11,3000,0,203,48,0
windykacja,600,43,M,11,2260,0,18,48,1896
splacona,290.42,66,K,13,919,0,132,48,0
windykacja,400,62,M,12,980,0,10,28,1895
windykacja_sp,400,30,K,12,1300,0,1,25,524
splacona,500,40,K,11,2505,0,155,48,0
splacona,400,51,M,12,1400,0,67,48,262
splacona,500,31,M,11,2700,0,6,48,12
splacona,600,47,K,98,2200,0,16,48,0
splacona,400,68,K,16,980,0,122,48,0
windykacja,2000,55,M,11,2500,0,29,48,1894
splacona,500,62,K,13,900,0,28,48,0
windykacja,400,20,K,98,1250,0,12,48,1894
splacona_cz,600,49,K,11,1764,0,55,48,17
splacona,600,42,M,11,1700,0,243,48,2
splacona,800,47,K,11,2100,0,57,48,2
splacona,300,35,K,12,1200,0,2,13,0
splacona,250,67,K,13,1391,0,238,48,11
splacona,200,35,M,11,1736,0,44,48,512
splacona,500,45,M,12,1000,0,0,7,4
splacona,1000,36,K,11,1900,0,170,48,2
splacona,200,66,M,13,3000,0,50,48,382
splacona,300,47,M,12,1400,0,13,25,2
windykacja,500,46,K,11,1300,0,8,48,1892
splacona,300,54,K,11,2800,0,51,48,1
splacona,800,48,M,11,2500,0,99,48,196
splacona,1000,52,K,11,1638,0,305,48,8
splacona,300,50,K,98,570,0,19,48,2
splacona,500,62,K,13,962,0,56,48,0
splacona,500,47,K,12,830.46,0,36,48,2
windykacja,200,54,M,13,1152.08,0,180,48,1890
splacona,500,32,K,13,3360,0,108,48,0
splacona_cz,500,53,K,12,2000,0,0,2,0
windykacja_sp,1028.19,37,K,12,1738,0,12,16,0
splacona,400,56,K,13,580,0,111,48,0
splacona_cz,400,22,M,17,1896,0,26,28,3
splacona,400,27,M,12,1000,0,8,43,0
splacona_cz,1000,43,M,13,4413,0,83,48,0
windykacja,300,30,K,12,1000,0,2,4,1887
splacona_cz,500,66,K,13,650,0,65,48,5
windykacja,200,46,K,11,1300,0,9,48,1887
splacona,400,28,K,99,468,0,3,12,3
splacona,200,72,K,13,930,0,231,48,0
splacona_cz,200,75,K,13,616,0,238,48,2
splacona_cz,1500,57,M,98,3000,0,61,48,19
splacona,250,31,M,99,1700,0,25,27,0
splacona,800,55,K,16,2300,0,55,48,0
splacona_cz,800,60,M,11,1000,0,55,48,1
splacona_cz,800,65,K,13,930,0,123,48,1
splacona,400,71,K,13,1668,0,189,48,0
splacona,250,29,M,11,2100,0,40,48,209
splacona_cz,500,33,K,11,1400,0,93,48,1
splacona,600,22,M,11,800,0,4,48,0
splacona_cz,1000,57,M,13,3600,0,78,48,0
splacona_cz,900,33,K,11,2050,0,21,48,0
splacona_cz,600,57,K,11,2200,0,461,48,0
splacona,200,57,M,13,600,0,147,48,0
splacona_cz,300,65,K,13,1175,0,107,48,3
windykacja_sp,500,76,K,13,2151,0,124,48,195
windykacja_sp,750,30,M,12,1857,0,4,29,495
splacona_cz,500,60,K,13,1212,0,46,48,0
splacona,500,62,K,13,750,0,23,48,0
splacona_cz,450,23,M,99,980,0,4,6,0
splacona,1000,45,M,11,1400,0,51,48,276
splacona_cz,800,60,K,11,2670,0,80,48,21
windykacja,800,39,K,11,3900,0,141,48,1881
splacona_cz,1000,60,K,13,1149.62,0,62,48,2
splacona,1000,72,M,13,2612,0,74,48,0
splacona_cz,500,49,K,11,1800,0,45,48,4
splacona,500,32,M,11,2050,0,110,48,2
splacona_cz,600,37,K,11,1600,0,63,48,2
windykacja,800,32,M,12,930,0,11,28,1880
splacona_cz,1000,40,M,11,1830,0,60,48,4
splacona_cz,300,60,M,11,3000,0,204,48,0
splacona,400,42,M,11,1400,0,5,48,215
splacona_cz,450,68,M,13,2000,0,37,48,2
splacona,600,28,M,12,1400,0,9,28,15
